,extremes,gsteukgiCd,gsteukgiNm,gunGbnm,iybudaeCdm,iyyjjongryoYm,iyyjsijakYm,jeopsuJrdtm,jeopsuPcnt,jeopsuSjdtm,mojipGbnm,mojipTms,mojipYy,rate,rnum,seonbalPcnt
0,29,43,기관,해군,해군교육사령부,202405,202405,20240227,59,20240220,일반기술/전문기술병,102,2024,2,1,30
1,501,11,일반,해군,해군교육사령부,202405,202405,20240227,601,20240220,일반기술/전문기술병,102,2024,6,2,100
2,32,11.05,조리,해군,해군교육사령부,202405,202405,20240227,62,20240220,일반기술/전문기술병,102,2024,2.1,3,30
3,52,803,동반_군사경찰,해군,해군교육사령부,202405,202405,20240227,62,20240220,동반입대병,102,2024,6.2,4,10
4,28,B11,(2함대)일반,해군,해군교육사령부,202405,202405,20240227,78,20240220,복무지역선택병,102,2024,1.6,5,50
5,-2,B43,(2함대)기관,해군,해군교육사령부,202405,202405,20240227,8,20240220,복무지역선택병,102,2024,0.8,6,10
6,-1,A11.05,(1함대)조리,해군,해군교육사령부,202405,202405,20240227,9,20240220,복무지역선택병,102,2024,0.9,7,10
7,-1,A43,(1함대)기관,해군,해군교육사령부,202405,202405,20240227,9,20240220,복무지역선택병,102,2024,0.9,8,10
8,0,B11.05,(2함대)조리,해군,해군교육사령부,202405,202405,20240227,10,20240220,복무지역선택병,102,2024,1,9,10
9,32,A11,(1함대)일반,해군,해군교육사령부,202405,202405,20240227,82,20240220,복무지역선택병,102,2024,1.6,10,50
10,-13,900101,군사과학기술병,육군,육군훈련소,202406,202406,20240306,7,20240229,전문특기병,18,2024,0.4,11,20
11,0,311334,지식재산관리병,육군,육군훈련소,202406,202406,20240306,1,20240229,전문특기병,19,2024,1,12,1
12,16,471277,기독교군종병,육군,육군훈련소,202408,202407,20240306,60,20240229,전문특기병,20,2024,1.4,13,44
13,6,471278,천주교군종병,육군,육군훈련소,202408,202407,20240306,18,20240229,전문특기병,21,2024,1.5,14,12
14,4,471279,불교군종병,육군,육군훈련소,202408,202407,20240306,16,20240229,전문특기병,22,2024,1.3,15,12
15,22,175104,정보보호병,육군,육군훈련소,202406,202406,20240306,48,20240229,전문특기병,23,2024,1.8,16,26
16,253,321102,특임군사경찰,육군,육군훈련소,202406,202406,20240306,344,20240229,전문특기병,24,2024,3.8,17,91
17,74,A001,동반입대병,육군,12사단,202407,202407,20240403,172,20240327,동반입대병,4,2024,1.8,18,98
18,74,A001,동반입대병,육군,7사단,202407,202407,20240403,166,20240327,동반입대병,4,2024,1.8,19,92
19,72,A001,동반입대병,육군,6사단,202407,202407,20240403,172,20240327,동반입대병,4,2024,1.7,20,100
20,133,A001,동반입대병,육군,5사단,202407,202407,20240403,233,20240327,동반입대병,4,2024,2.3,21,100
21,130,141.101,발칸운용/정비,육군,육군훈련소,202407,202407,20240404,206,20240328,기술행정병,4,2024,2.7,22,76
22,7,171.102,무선전송장비운용/정비,육군,육군훈련소,202407,202407,20240404,124,20240328,기술행정병,4,2024,1.1,23,117
23,169,171.104,이동통신장비운용/정비,육군,육군훈련소,202407,202407,20240404,264,20240328,기술행정병,4,2024,2.8,24,95
24,82,172.101,MW운용/정비,육군,육군훈련소,202407,202407,20240404,103,20240328,기술행정병,4,2024,4.9,25,21
25,21,175.102,전술C4I운용/정비,육군,육군훈련소,202407,202407,20240404,77,20240328,기술행정병,4,2024,1.4,26,56
26,-1,225.101,탄약관리,육군,육군훈련소,202407,202407,20240404,122,20240328,기술행정병,4,2024,1,27,123
27,21,226.101,장비수리부속공구보급,육군,육군훈련소,202407,202407,20240404,34,20240328,기술행정병,4,2024,2.6,28,13
28,643,241.100,수송운용(차량운전),육군,육군훈련소,202407,202407,20240404,2234,20240328,기술행정병,4,2024,1.4,29,1591
29,189,241.100,수송운용(차량운전),육군,28사단,202407,202407,20240404,313,20240328,기술행정병,4,2024,2.5,30,124
30,187,241.100,수송운용(차량운전),육군,5사단,202407,202407,20240404,243,20240328,기술행정병,4,2024,4.3,31,56
31,17,243.101,항만운용,육군,육군훈련소,202407,202407,20240404,21,20240328,기술행정병,4,2024,5.3,32,4
32,48,321.101,군사경찰,육군,육군훈련소,202407,202407,20240404,212,20240328,기술행정병,4,2024,1.3,33,164
33,9,131.107,K-9자주포조종,육군,육군훈련소,202407,202407,20240404,47,20240328,기술행정병,4,2024,1.2,34,38
34,-11,132.102,K239포병,육군,육군훈련소,202407,202407,20240404,23,20240328,기술행정병,4,2024,0.7,35,34
35,0,133.106,포병레이더,육군,육군훈련소,202407,202407,20240404,3,20240328,기술행정병,4,2024,1,36,3
36,58,141.103,비호운용/정비,육군,육군훈련소,202407,202407,20240404,88,20240328,기술행정병,4,2024,2.9,37,30
37,186,141.105,휴대용유도무기운용/정비,육군,육군훈련소,202407,202407,20240404,205,20240328,기술행정병,4,2024,10.8,38,19
38,-4,163.107,공기압축기운용,육군,육군훈련소,202407,202407,20240404,5,20240328,기술행정병,4,2024,0.6,39,9
39,6,172.102,위성운용/정비,육군,육군훈련소,202407,202407,20240404,47,20240328,기술행정병,4,2024,1.1,40,41
40,23,211.103,화생방제독,육군,육군훈련소,202407,202407,20240404,50,20240328,기술행정병,4,2024,1.9,41,27
41,7,221.102,로켓무기정비,육군,육군훈련소,202407,202407,20240404,9,20240328,기술행정병,4,2024,4.5,42,2
42,0,222.102,화포정비,육군,육군훈련소,202407,202407,20240404,2,20240328,기술행정병,4,2024,1,43,2
43,298,241.100,수송운용(차량운전),육군,55사단,202407,202407,20240404,327,20240328,기술행정병,4,2024,11.3,44,29
